external_gene_name	width
TSPAN6	12883
TNMD	14950
DPM1	23689
SCYL3	44637
C1orf112	192074
FGR	23122
CFH	95627
FUCA2	16880
GCLC	119630
NFYA	27032
STPG1	59936
NIPAL3	57175
LAS1L	22194
ENPP4	16700
SEMA3F	34031
CFTR	250188
ANKIB1	155410
CYP51A1	22651
KRIT1	47198
RAD52	77977
MYH16	72302
BAD	14875
LAP3	30781
CD99	50123
HS3ST1	36415
AOC1	36878
WNT16	15738
HECW1	453373
MAD1L1	417451
LASP1	51912
SNX11	19718
TMEM176A	4716
M6PR	9401
KLHL13	219528
CYP26B1	18801
ICA1	149504
DBNDD1	15264
ALS2	80690
CASP10	46526
CFLAR	60534
TFPI	101531
NDUFAF7	21773
RBM5	30114
MTMR7	116735
SLC7A2	73486
ARF5	3315
SARM1	39694
POLDIP2	10895
PLXND1	51644
AK2	73057
CD38	74958
FKBP4	10454
KDM1A	64247
RBM6	160039
CAMKK1	34577
RECQL	32760
VPS50	128784
HSPB6	3514
ARHGAP33	14291
NDUFAB1	15303
PDK4	13018
SLC22A16	51955
ZMYND10	4623
ABCB5	161832
ARX	12727
SLC25A13	201928
ST7	276866
CDC27	71720
SLC4A1	19752
CALCR	150244
HCCS	11786
DVL2	9176
PRSS22	5441
UPF1	36299
SKAP2	328172
SLC25A5	2975
MCUB	128511
HOXA11	3714
POLR2J	5790
DHX33	28066
MEOX1	21534
THSD7A	461834
LIG3	29250
RPAP3	44782
ACSM3	187339
REXO5	43240
CIAPIN1	19234
SPPL2B	26481
FAM214B	12230
COPZ2	11864
PRKAR2B	117107
MSL3	17614
CREBBP	155673
TSPOAP1	27568
MPO	11080
PON1	27032
GCFC2	58990
WDR54	4078
CROT	54115
ABCB4	78739
KMT2E	100183
RHBDD2	46325
SOX8	5210
IBTK	77769
ZNF195	39962
MYCBP2	282438
FBXL3	34598
ITGAL	50528
PDK2	17416
ITGA3	34514
ZFX	67083
LAMP2	41539
ITGA2B	17326
ASB4	61790
GDE1	20431
REX1BD	3652
CRLF1	35522
OSBPL7	14463
TMEM98	17197
YBX2	6377
KRT33A	4721
MAP3K14	54027
ABCC8	84382
CACNG3	107249
TMEM132A	12697
AP2B1	148368
TAC1	8389
ZNF263	37602
CX3CL1	12568
SPATA20	12795
CACNA1G	66760
TNFRSF12A	3939
DLX6	5488
MAP3K9	87009
RALA	84556
BAIAP2L1	109441
KDM7A	92238
ETV1	100197
AGK	104056
ALDH3B1	20705
TTC22	21612
PHTF2	158712
CCL26	20364
FARP2	138557
USH1C	50522
GGCT	8221
DBF4	33338
TBXA2R	12335
IFRD1	58050
LGALS14	4964
COX10	139182
GTF2IRD1	148815
PAF1	5526
VPS41	209421
ARHGAP44	202146
ELAC2	26454
SCIN	89606
ARSD	25378
PNPLA4	29493
MYH13	72266
ADIPOR2	100101
CDKL3	84698
UPP2	259453
PRSS21	9125
MARK4	225997
PROM1	121303
CCDC124	10977
CEACAM21	37327
PAFAH1B1	92406
NOS2	43734
DNAH9	371279
KIAA0100	31009
SLC13A2	24489
GAS7	287943
TRAPPC6A	15310
MATK	24160
CEACAM7	33674
CD79B	3615
SCN4A	34365
ST7L	97312
TKTL1	34556
PAX6	33284
RPUSD1	3424
RHBDF1	18297
LUC7L	40495
CACNA2D2	141446
BAIAP3	15841
TSR3	2639
PIGQ	17142
CRAMP1	65584
TEAD3	23483
SELE	42066
DNAJC11	67757
FMO3	26919
MYLIP	19163
NOX1	31036
E2F2	24796
PSMB1	18188
SYN1	47957
JARID2	275974
CDKL5	228047
CAMK1G	30226
CDK11A	21979
NADK	29226
TFAP2B	28897
TFAP2D	59161
DLEC1	84821
CYTH3	110869
ADAM22	268747
SYPL1	22074
CYB561	14051
SPAG9	158695
CELSR3	26424
AASS	70707
PLEKHG6	18071
SS18L2	13275
MPND	16560
MGST1	262118
CRY1	102186
PGLYRP1	3901
NFIX	103189
ST3GAL1	117093
MMP25	14166
IL32	16896
PKD1	47189
MAPK8IP2	13189
MED24	42119
RHOBTB2	32783
HEATR5B	115990
SEC62	31739
RPS20	7287
CSDE1	41764
UBE3C	130455
REV3L	184688
TENM1	587915
PAX7	118021
MASP2	20711
IYD	37078
FAM76A	37144
TRAF3IP3	26289
POMT2	45929
VTA1	77524
MLXIPL	31350
BAZ1B	81888
RANBP9	90338
ETV7	33710
SPRTN	17920
EEF1AKNMT	32364
DYRK4	53099
ZNF207	31770
UQCRC1	11975
STARD3NL	52450
CD9	38557
HHATL	10165
NCAPD2	38600
IFFO1	17709
GIPR	15502
PHF7	12982
SEMA3G	12033
NISCH	37951
STAB1	29158
FUZ	10508
SLC6A13	42253
IDS	44109
PRSS3	48766
ZNF200	13897
CD4	33942
LRRC23	40673
BTK	41350
HFE	11063
SCMH1	214955
FYN	213121
HIVEP2	205230
FMO1	37508
ELOA	18905
LYPLA2	4395
CLCN6	41984
MRC2	65928
NME1-NME2	18155
SLC6A7	32727
TSPAN9	209210
BTBD7	95543
APBA3	10921
MKS1	14169
ABHD5	44264
ANOS1	203264
AKAP8L	39092
MBTD1	82739
UTP18	37391
RNF216	161693
TTC19	45232
PTBP1	15253
DPF1	18709
SYT7	65836
LARS2	166221
PIK3C2A	130254
PLAUR	24453
ANLN	63971
WIZ	29972
RABGAP1	164034
DCN	42341
QPCTL	11324
PPP5C	45988
CEP68	30639
MAP4K3	188036
ZBTB32	12481
TYROBP	3895
TMEM159	22240
GABRA3	285082
BRCA1	125951
ERCC1	71496
CD22	28101
SEMA3B	9989
MBTPS2	45807
PRICKLE3	11727
LTF	49590
EXTL3	155131
NR1H4	90707
ELOVL5	81782
ALOX5	71944
KDM5D	41075
CALCOCO1	19229
UBR7	21975
MAP4K5	142626
EHD3	35300
PSMC4	10437
MAN2B2	48188
SLC7A14	126528
CLDN11	35869
SLC25A39	5246
MVP	27646
NUB1	36751
PGM3	32787
RWDD2A	5579
CLK1	11736
POLR3B	152451
ANGEL1	40069
RNF14	31965
DNASE1L1	10877
DDX11	30940
HEBP1	25396
GPRC5A	27156
MAMLD1	152757
CD6	48698
TACC3	32286
UFL1	33682
POLA2	43670
ZC3H3	103789
CAPN1	31441
ACP3	50930
MDH1	18589
SLC30A9	99960
MTMR11	8229
COX15	20257
CCDC88C	146522
YAF2	81246
ZMYND11	120173
WAS	14832
DPEP1	25149
BID	40633
MATR3	38030
NPC1L1	28781
XYLT2	17047
RGPD5	64948
STMN4	23098
NUDCD3	111540
ISL1	11283
CHDH	34085
IL20RA	45210
CLCA1	31922
CLCA4	33677
GLT8D1	11545
ATP2C1	166118
IGF1	85871
SLC38A5	11724
RALBP1	63106
RUFY3	104416
CNTN1	379977
SLC11A1	14866
WWTR1	219480
AGPS	166532
ZNF806	9428
CXorf56	27260
ATP1A2	27833
TTC27	193020
ZNF582	17700
VSIG2	4782
PHLDB1	51592
MARCO	52495
CYP24A1	20541
PRDM11	139305
SYT13	46040
SNAI2	4143
CD74	12889
HGF	71431
ZRANB1	46067
NCDN	9802
ADGRA2	60706
CCT8L1P	1674
ZFP64	152646
MNAT1	235224
SAMD4A	226219
RUNX3	65611
MRE11	78331
PLEKHB1	16642
SERPINB1	9628
CYP3A43	38090
SLC7A9	39259
SPAST	94091
NRXN3	1697918
OSBPL5	79633
AQR	117961
CPS1	201426
C8B	36934
FHL1	64658
RTF2	50865
GABRA1	52919
NLRP2	48013
SLC45A4	101140
RNF10	44109
ZNF839	25326
ZDHHC6	22490
GRAMD1B	269347
RNH1	12789
NDUFS1	44693
RB1CC1	123386
ERP44	119816
ALAS1	16242
BIRC3	21954
AKAP11	51110
GLRX2	15249
SNAPC1	34009
DERA	126080
STRAP	21092
ABCC2	69955
DEF6	23954
PLEKHO1	15538
GCLM	24258
UBR2	129443
EHD2	29713
DEPDC1	23070
CCDC28A	19811
RRAGD	47635
HSF2	33574
PHF20	178397
HSD17B6	35630
NR1H3	20734
TYMP	4281
NCAPH2	16557
TOMM34	18268
SEC63	90453
KPNA6	68508
VIM	9353
RTEL1-TNFRSF6B	39385
FAS	26529
RNASET2	27688
CD44	93533
KCNG1	19452
AGPAT4	144095
SLAMF7	15765
BTN3A1	12972
MIPEP	159212
PRKCH	363418
INSRR	19055
IFNGR1	21966
B4GALT7	10199
SH2D2A	10620
VRK2	252292
TNFRSF1B	42238
VEZT	85054
POU2F2	110476
BRD9	42511
SNX1	51968
TBPL1	38263
ARNTL2	92436
BCLAF1	33225
SLC39A9	64376
ANK1	243543
IBSP	12882
TFB1M	58360
RABEP1	104076
HMGB3	10263
NUP160	70469
BAK1	7747
MUSK	132850
IKZF2	152737
GRN	7861
FAM13B	114002
ARHGAP31	126342
CENPQ	29738
SARS1	24265
RANBP3	62004
ARID4A	75503
EIPR1	188958
PNPLA6	27761
IFT88	124369
ALG1	53457
ZCCHC8	29474
ABCF2	15722
CHPF2	6339
LRRC7	583685
FUT8	333530
UBA6	88504
GAB2	203056
ATP6V0A1	63768
PIAS1	144425
SLC4A7	111700
